searchType,similarity,Pattern L,Projection L,searchResults,TP_median1,TN_median1,FP_median1,FN_median1,HR_median1,TP_unc1,TN_unc1,FP_unc1,FN_unc1,HR_unc1,TP_median2,TN_median2,FP_median2,FN_median2,HR_median2,TP_unc2,TN_unc2,FP_unc2,FN_unc2,HR_unc2,r_mean,p_mean,r_median,p_median,rs_mean,ps_mean,rs_median,ps_median,MSE_mean,MAE_mean,MSE_median,MAE_median,num_forecasts,DecileSpread,VigSpread,PerSpread
0,2,3,1,100,19,0,14,0,0.57576,19,0,14,0,0.57576,19,0,14,0,0.57576,19,0,14,0,0.57576,-0.055049,0.61954,-0.21147,0.88128,-0.23229,0.90401,-0.23953,0.91029,0.081465,0.22177,0.050022,0.16669,33,-0.14214,0.22828,NaN
0,2,3,2,100,15,0,17,0,0.46875,15,0,17,0,0.46875,15,0,17,0,0.46875,15,0,17,0,0.46875,-0.075966,0.66028,-0.34297,0.97268,-0.27309,0.93511,-0.3334,0.96889,0.23414,0.37781,0.16513,0.28965,32,-0.16724,-0.78825,NaN
0,2,3,3,100,16,0,15,0,0.51613,16,0,15,0,0.51613,16,0,15,0,0.51613,16,0,15,0,0.51613,-0.073948,0.65371,-0.30843,0.95431,-0.27339,0.93203,-0.34467,0.97121,0.38337,0.50574,0.28761,0.40059,31,-1.0294,-1.3091,NaN
0,2,3,4,100,15,0,15,0,0.5,15,0,15,0,0.5,15,0,15,0,0.5,15,0,15,0,0.5,-0.044902,0.59313,-0.37775,0.98021,-0.20667,0.86455,-0.30565,0.94976,0.52796,0.62258,0.40188,0.51587,30,-1.421,-0.89333,NaN
0,2,3,5,100,18,0,11,0,0.62069,18,0,11,0,0.62069,18,0,11,0,0.62069,18,0,11,0,0.62069,-0.00015349,0.50032,-0.3294,0.9595,-0.10887,0.71458,-0.25776,0.91148,0.52425,0.61904,0.36585,0.5182,29,-0.86316,-1.0675,NaN
0,2,3,6,100,16,0,12,0,0.57143,16,0,12,0,0.57143,16,0,12,0,0.57143,16,0,12,0,0.57143,0.1016,0.30347,-0.1579,0.78887,-0.067323,0.63461,-0.20428,0.85147,0.56441,0.63553,0.34997,0.51657,28,-1.2352,-1.1304,NaN
0,2,3,7,100,18,0,9,0,0.66667,18,0,9,0,0.66667,18,0,9,0,0.66667,18,0,9,0,0.66667,0.17767,0.18765,-0.097345,0.68546,0.033578,0.4341,0.032224,0.43661,0.5043,0.60404,0.32581,0.48615,27,-1.0742,-1.2394,NaN
0,2,3,8,100,18,0,8,0,0.69231,18,0,8,0,0.69231,18,0,8,0,0.69231,18,0,8,0,0.69231,0.22367,0.13602,0.14694,0.23691,0.022906,0.45611,0.030638,0.44095,0.49255,0.59538,0.2782,0.42966,26,-0.50054,-1.2789,NaN
0,2,3,9,100,19,0,6,0,0.76,19,0,6,0,0.76,19,0,6,0,0.76,19,0,6,0,0.76,0.32285,0.057735,0.10577,0.30742,0.12462,0.27566,0.12331,0.27852,0.51144,0.61395,0.21369,0.35788,25,-0.1008,0.0027602,NaN
0,2,3,10,100,19,0,5,0,0.79167,19,0,5,0,0.79167,19,0,5,0,0.79167,19,0,5,0,0.79167,0.19368,0.18225,-0.10241,0.68302,0.047826,0.41227,0.053513,0.40193,0.62996,0.67545,0.21059,0.38479,24,-0.30814,-0.46281,NaN
0,2,3,11,100,21,0,2,0,0.91304,21,0,2,0,0.91304,21,0,2,0,0.91304,21,0,2,0,0.91304,0.019958,0.46399,-0.14471,0.74498,-0.12945,0.72423,-0.1168,0.7022,0.8486,0.75493,0.23022,0.42095,23,-0.22302,-0.35461,NaN
0,2,3,12,100,22,0,0,0,1,22,0,0,0,1,22,0,0,0,1,22,0,0,0,1,-0.29488,0.90861,-0.37342,0.95653,-0.23998,0.86079,-0.23785,0.85677,1.1277,0.85031,0.27168,0.46529,22,-0.3483,-0.29775,NaN
0,2,4,1,100,19,0,13,0,0.59375,19,0,13,0,0.59375,19,0,13,0,0.59375,19,0,13,0,0.59375,-0.0067833,0.5147,-0.16639,0.81864,-0.15579,0.80408,-0.16447,0.81581,0.075634,0.21224,0.050634,0.1666,32,-0.11804,0.30651,NaN
0,2,4,2,100,15,0,16,0,0.48387,15,0,16,0,0.48387,15,0,16,0,0.48387,15,0,16,0,0.48387,-0.034621,0.57334,-0.27876,0.93556,-0.22903,0.89323,-0.20932,0.87079,0.22198,0.36666,0.16739,0.2941,31,-0.50236,-0.17015,NaN
0,2,4,3,100,16,0,14,0,0.53333,16,0,14,0,0.53333,16,0,14,0,0.53333,16,0,14,0,0.53333,-0.017976,0.53756,-0.30455,0.94911,-0.21691,0.87625,-0.30856,0.95144,0.35534,0.48658,0.29521,0.40557,30,-1.1537,-0.32629,NaN
0,2,4,4,100,15,0,14,0,0.51724,15,0,14,0,0.51724,15,0,14,0,0.51724,15,0,14,0,0.51724,0.014214,0.47083,-0.38411,0.98017,-0.16946,0.81175,-0.29248,0.93818,0.4894,0.60023,0.41432,0.52259,29,-1.4349,-1.3263,NaN
0,2,4,5,100,18,0,10,0,0.64286,18,0,10,0,0.64286,18,0,10,0,0.64286,18,0,10,0,0.64286,0.09262,0.31962,-0.30011,0.93963,-0.064587,0.62935,-0.21919,0.86879,0.45341,0.58451,0.36582,0.51503,28,-1.238,-1.0581,NaN
0,2,4,6,100,16,0,11,0,0.59259,16,0,11,0,0.59259,16,0,11,0,0.59259,16,0,11,0,0.59259,0.19481,0.16509,-0.052301,0.60221,-0.066545,0.63067,-0.15802,0.78443,0.47078,0.59531,0.35175,0.51605,27,-0.99052,-1.1304,NaN
0,2,4,7,100,17,0,9,0,0.65385,17,0,9,0,0.65385,17,0,9,0,0.65385,17,0,9,0,0.65385,0.2421,0.11671,-0.13608,0.74628,0.036581,0.42972,-0.026131,0.55041,0.42749,0.56829,0.33685,0.49338,26,-0.66237,-0.90911,NaN
0,2,4,8,100,17,0,8,0,0.68,17,0,8,0,0.68,17,0,8,0,0.68,17,0,8,0,0.68,0.29776,0.074143,0.18863,0.18326,0.042308,0.42053,0.03721,0.42992,0.40888,0.55659,0.28136,0.42752,25,-0.19757,-0.48181,NaN
0,2,4,9,100,18,0,6,0,0.75,18,0,6,0,0.75,18,0,6,0,0.75,18,0,6,0,0.75,0.24707,0.12223,0.043212,0.42055,0.033913,0.43778,0.030555,0.44365,0.48413,0.59615,0.22141,0.36884,24,-0.28358,0.037508,NaN
0,2,4,10,100,18,0,5,0,0.78261,18,0,5,0,0.78261,18,0,5,0,0.78261,18,0,5,0,0.78261,0.10695,0.31359,-0.18376,0.79935,-0.054348,0.59897,-0.053439,0.59567,0.57884,0.64871,0.21492,0.39152,23,-0.37838,-0.65829,NaN
0,2,4,11,100,20,0,2,0,0.90909,20,0,2,0,0.90909,20,0,2,0,0.90909,20,0,2,0,0.90909,0.037569,0.43408,-0.1334,0.72302,-0.15302,0.75415,-0.13409,0.72405,0.75207,0.71748,0.23059,0.42067,22,-0.23016,-0.14188,NaN
0,2,4,12,100,21,0,0,0,1,21,0,0,0,1,21,0,0,0,1,21,0,0,0,1,-0.32554,0.92507,-0.41599,0.96965,-0.30779,0.91376,-0.29825,0.90544,0.99758,0.80219,0.27067,0.46181,21,-0.33045,-0.36038,NaN
0,2,5,1,100,19,0,12,0,0.6129,19,0,12,0,0.6129,19,0,12,0,0.6129,19,0,12,0,0.6129,0.020194,0.45707,-0.085801,0.67686,-0.12097,0.74305,-0.059701,0.62515,0.072855,0.20686,0.05133,0.1674,31,-0.18561,0.30651,NaN
0,2,5,2,100,15,0,15,0,0.5,15,0,15,0,0.5,15,0,15,0,0.5,15,0,15,0,0.5,0.014024,0.47068,-0.20758,0.86449,-0.12614,0.74826,-0.057489,0.61858,0.20683,0.35171,0.16914,0.29479,30,-0.6257,0.49865,NaN
0,2,5,3,100,16,0,13,0,0.55172,16,0,13,0,0.55172,16,0,13,0,0.55172,16,0,13,0,0.55172,0.038817,0.42077,-0.12388,0.73899,-0.14877,0.781,-0.24924,0.90386,0.33472,0.47009,0.29884,0.40815,29,-1.1177,-0.32629,NaN
0,2,5,4,100,15,0,13,0,0.53571,15,0,13,0,0.53571,15,0,13,0,0.53571,15,0,13,0,0.53571,0.10467,0.29803,-0.23373,0.88435,-0.076081,0.65127,-0.20042,0.84675,0.43921,0.57156,0.41456,0.5225,28,-1.3375,-1.3263,NaN
0,2,5,5,100,17,0,10,0,0.62963,17,0,10,0,0.62963,17,0,10,0,0.62963,17,0,10,0,0.62963,0.18358,0.17968,-0.16388,0.79297,-0.03663,0.57309,-0.13223,0.74456,0.3975,0.55134,0.37011,0.5178,27,-0.99748,-1.0581,NaN
0,2,5,6,100,15,0,11,0,0.57692,15,0,11,0,0.57692,15,0,11,0,0.57692,15,0,11,0,0.57692,0.24534,0.11352,0.032847,0.43672,-0.04547,0.58858,-0.003524,0.50682,0.41586,0.56583,0.36323,0.53144,26,-0.57739,-1.1046,NaN
0,2,5,7,100,16,0,9,0,0.64,16,0,9,0,0.64,16,0,9,0,0.64,16,0,9,0,0.64,0.30308,0.070413,-0.15943,0.77674,0.046923,0.41191,-0.019718,0.53727,0.37245,0.53702,0.3507,0.50681,25,-0.36717,-0.26386,NaN
0,2,5,8,100,16,0,8,0,0.66667,16,0,8,0,0.66667,16,0,8,0,0.66667,16,0,8,0,0.66667,0.19589,0.17948,-0.0095821,0.51772,-0.043478,0.58138,-0.084261,0.65227,0.40658,0.5505,0.29956,0.43362,24,-0.44082,-0.67292,NaN
0,2,5,9,100,17,0,6,0,0.73913,17,0,6,0,0.73913,17,0,6,0,0.73913,17,0,6,0,0.73913,0.13884,0.26376,-0.15274,0.75671,-0.050395,0.59196,-0.045726,0.58206,0.46233,0.57893,0.22721,0.37772,23,-0.4009,-0.36279,NaN
0,2,5,10,100,17,0,5,0,0.77273,17,0,5,0,0.77273,17,0,5,0,0.77273,17,0,5,0,0.77273,0.068711,0.38063,-0.23008,0.84851,-0.11011,0.6895,-0.11821,0.69984,0.52878,0.62412,0.23402,0.40855,22,-0.41843,-0.6033,NaN
0,2,5,11,100,19,0,2,0,0.90476,19,0,2,0,0.90476,19,0,2,0,0.90476,19,0,2,0,0.90476,-0.071889,0.62159,-0.19379,0.80002,-0.2026,0.81318,-0.20665,0.81561,0.68017,0.68446,0.24574,0.43507,21,-0.24432,-0.36889,NaN
0,2,5,12,100,20,0,0,0,1,20,0,0,0,1,20,0,0,0,1,20,0,0,0,1,-0.31511,0.91201,-0.43248,0.97157,-0.30677,0.90716,-0.30057,0.90106,0.86199,0.75101,0.24418,0.43783,20,-0.33128,-0.26205,NaN
0,2,6,1,100,19,0,11,0,0.63333,19,0,11,0,0.63333,19,0,11,0,0.63333,19,0,11,0,0.63333,0.081007,0.33522,-0.17453,0.82184,0.016685,0.46537,-0.050216,0.60393,0.065296,0.19442,0.053188,0.16886,30,0.11939,0.30651,NaN
0,2,6,2,100,15,0,14,0,0.51724,15,0,14,0,0.51724,15,0,14,0,0.51724,15,0,14,0,0.51724,0.07192,0.35541,-0.1035,0.70342,0.025616,0.44768,0.091406,0.31862,0.19286,0.3374,0.17118,0.29723,29,0.26198,0.49865,NaN
0,2,6,3,100,16,0,12,0,0.57143,16,0,12,0,0.57143,16,0,12,0,0.57143,16,0,12,0,0.57143,0.13944,0.23958,-0.1226,0.73287,0.063492,0.37381,-0.037985,0.57609,0.2995,0.44586,0.30603,0.41372,28,0.080699,0.81426,NaN
0,2,6,4,100,14,0,13,0,0.51852,14,0,13,0,0.51852,14,0,13,0,0.51852,14,0,13,0,0.51852,0.2044,0.15323,-0.13622,0.75096,0.084249,0.33755,-0.084016,0.66153,0.39563,0.54297,0.42216,0.52885,27,-0.27496,0.80239,NaN
0,2,6,5,100,16,0,10,0,0.61538,16,0,10,0,0.61538,16,0,10,0,0.61538,16,0,10,0,0.61538,0.25693,0.10257,-0.0060024,0.51161,0.12068,0.27776,0.024307,0.45309,0.36191,0.52475,0.37439,0.52872,26,0.2615,-0.92745,NaN
0,2,6,6,100,14,0,11,0,0.56,14,0,11,0,0.56,14,0,11,0,0.56,14,0,11,0,0.56,0.32986,0.053666,0.18204,0.1919,0.11846,0.28566,0.27973,0.087826,0.3653,0.53489,0.37468,0.54793,25,0.49596,-0.30414,NaN
0,2,6,7,100,15,0,9,0,0.625,15,0,9,0,0.625,15,0,9,0,0.625,15,0,9,0,0.625,0.23125,0.13846,0.059297,0.39157,0.090435,0.33669,0.0092027,0.48298,0.3689,0.532,0.33846,0.49724,24,0.30738,-0.31872,NaN
0,2,6,8,100,15,0,8,0,0.65217,15,0,8,0,0.65217,15,0,8,0,0.65217,15,0,8,0,0.65217,0.11792,0.29603,0.076835,0.36375,-0.057312,0.6042,0.013196,0.47617,0.39077,0.53547,0.28798,0.4235,23,-0.58717,-0.96832,NaN
0,2,6,9,100,16,0,6,0,0.72727,16,0,6,0,0.72727,16,0,6,0,0.72727,16,0,6,0,0.72727,0.12137,0.29528,-0.14931,0.74639,-0.042349,0.57588,-0.03689,0.56474,0.42218,0.55369,0.23687,0.38894,22,-0.1632,-0.19714,NaN
0,2,6,10,100,16,0,5,0,0.7619,16,0,5,0,0.7619,16,0,5,0,0.7619,16,0,5,0,0.7619,-0.0052199,0.50896,-0.28354,0.89353,-0.16104,0.75983,-0.19069,0.79616,0.47377,0.59481,0.23971,0.41398,21,-0.4584,-0.73838,NaN
0,2,6,11,100,18,0,2,0,0.9,18,0,2,0,0.9,18,0,2,0,0.9,18,0,2,0,0.9,-0.059121,0.59777,-0.18438,0.78177,-0.2391,0.84728,-0.17154,0.76521,0.5755,0.63784,0.23448,0.42391,20,-0.26724,-0.17021,NaN
0,2,6,12,100,19,0,0,0,1,19,0,0,0,1,19,0,0,0,1,19,0,0,0,1,-0.38019,0.94583,-0.49998,0.98537,-0.36316,0.93747,-0.35604,0.93269,0.75165,0.70467,0.24588,0.43652,19,-0.36205,NaN,NaN
0,2,7,1,100,18,0,11,0,0.62069,18,0,11,0,0.62069,18,0,11,0,0.62069,18,0,11,0,0.62069,0.11298,0.27977,-0.0020553,0.50422,-0.0059113,0.51273,-0.048799,0.59924,0.063061,0.19148,0.053483,0.17287,29,0.17583,0.61444,NaN
