patternID,endDate,actualReturn,mean,variance,median,upside,downside,#searchResults
SP500,2006-06-08,-0.0014071,0.0019475,0.0003687,0.0014481,0.0206424,-0.0167971,600
SP500,2002-11-11,0.0275853,0.0011027,0.0004893,0.0015735,0.0233262,-0.0216116,600
SP500,2004-03-16,-0.0150806,0.0004287,0.0009574,0.0021134,0.0262553,-0.0241850,600
SP500,2001-05-02,-0.0093812,0.0014467,0.0002973,0.0039774,0.0157369,-0.0164026,600
SP500,2003-09-29,0.0275884,0.0021107,0.0005257,0.0020117,0.0238904,-0.0203768,600
SP500,2000-03-16,0.0472276,0.0009786,0.0003260,0.0021401,0.0160984,-0.0155946,600
SP500,2007-03-23,-0.0106190,-0.0002280,0.0003080,0.0015142,0.0142353,-0.0187353,600
SP500,2005-09-29,-0.0294784,0.0020811,0.0002376,0.0029022,0.0157331,-0.0133451,600
SP500,2006-01-27,-0.0153382,0.0027205,0.0003045,0.0037362,0.0185397,-0.0151119,600
SP500,2001-11-02,0.0304545,0.0024763,0.0004234,0.0034550,0.0221625,-0.0182534,600
SP500,2000-06-06,0.0079570,0.0015131,0.0004095,0.0025927,0.0206566,-0.0185827,600
SP500,2000-07-31,0.0338894,0.0011967,0.0008166,0.0027603,0.0242764,-0.0227121,600
SP500,2006-04-18,-0.0042378,0.0036196,0.0003368,0.0041480,0.0208402,-0.0151712,600
SP500,2008-06-27,-0.0203930,0.0017192,0.0005154,0.0000514,0.0238333,-0.0197799,600
SP500,2011-11-01,0.0473126,0.0007716,0.0004452,0.0004419,0.0210967,-0.0182338,600
SP500,2006-07-03,-0.0060615,0.0016670,0.0002313,0.0029659,0.0149954,-0.0141030,600
SP500,2002-04-24,-0.0061109,0.0020481,0.0004278,0.0018169,0.0229357,-0.0180227,600
SP500,2008-01-17,-0.0019801,0.0035123,0.0005287,0.0028607,0.0277448,-0.0179339,600
SP500,2007-08-23,-0.0033231,0.0012507,0.0002833,0.0027725,0.0154035,-0.0156142,600
SP500,2003-03-27,0.0091305,0.0009370,0.0003380,0.0011939,0.0190784,-0.0177212,600
SP500,2011-08-17,-0.0136445,0.0015206,0.0005245,0.0038621,0.0215903,-0.0217565,600
SP500,2009-04-20,0.0301782,-0.0000069,0.0004194,0.0020368,0.0195235,-0.0214849,600
SP500,2007-12-19,0.0160152,0.0018429,0.0007677,0.0030002,0.0254045,-0.0241429,600
SP500,2005-06-10,0.0157331,0.0016382,0.0002436,0.0029435,0.0151449,-0.0159619,600
SP500,2004-02-06,0.0026690,0.0021565,0.0001900,0.0028708,0.0141992,-0.0121477,600
SP500,2003-10-24,0.0211874,0.0014150,0.0003054,0.0023803,0.0185861,-0.0178883,600
SP500,2007-06-28,0.0164241,0.0014055,0.0004821,0.0007456,0.0228424,-0.0196855,600
SP500,2011-07-07,-0.0327737,0.0008079,0.0004050,0.0032892,0.0190232,-0.0211465,600
SP500,2011-08-26,-0.0024049,0.0022355,0.0007411,0.0041665,0.0263348,-0.0263640,600
SP500,2004-05-11,-0.0036149,0.0036021,0.0003782,0.0038487,0.0224608,-0.0152465,600
SP500,2000-07-05,0.0322840,0.0012636,0.0002573,0.0025845,0.0147430,-0.0142857,600
SP500,2005-06-08,0.0099692,0.0013850,0.0002064,0.0020950,0.0148732,-0.0134758,600
SP500,2000-09-12,-0.0149056,0.0015526,0.0003603,0.0023740,0.0189579,-0.0196783,600
SP500,2007-01-19,-0.0058161,0.0012687,0.0001994,0.0034193,0.0141337,-0.0149237,600
SP500,2001-01-29,-0.0072278,0.0016972,0.0002338,0.0026612,0.0155487,-0.0135726,600
SP500,2008-06-19,-0.0444434,0.0036825,0.0003208,0.0048821,0.0213430,-0.0158407,600
SP500,2007-09-14,0.0279602,0.0009222,0.0002918,0.0010496,0.0157593,-0.0151119,600
SP500,2010-09-15,0.0081862,0.0014219,0.0002249,0.0020724,0.0149774,-0.0137311,600
SP500,2008-02-20,0.0146982,0.0012085,0.0002679,0.0029115,0.0154751,-0.0167971,600
SP500,2007-10-31,-0.0476061,0.0019367,0.0002313,0.0039690,0.0149533,-0.0151110,600
SP500,2004-07-14,-0.0158259,0.0024773,0.0003152,0.0024792,0.0198949,-0.0166081,600
SP500,2006-12-08,0.0122354,0.0001052,0.0002138,0.0017812,0.0128449,-0.0152733,600
SP500,2002-10-08,0.1035878,0.0010380,0.0006962,0.0007125,0.0262553,-0.0223670,600
SP500,2011-02-15,-0.0155195,0.0004255,0.0002077,0.0025370,0.0137541,-0.0157247,600
SP500,2001-09-19,-0.0089164,0.0040918,0.0012151,0.0055841,0.0332803,-0.0252111,600
SP500,2008-03-03,-0.0435426,0.0013505,0.0004707,0.0014862,0.0221676,-0.0188235,600
SP500,2011-01-19,0.0114749,0.0016756,0.0002128,0.0028493,0.0147005,-0.0135497,600
SP500,2000-10-03,-0.0276488,0.0020613,0.0003434,0.0023938,0.0213430,-0.0175537,600
SP500,2004-01-21,-0.0166780,0.0023337,0.0002013,0.0042074,0.0148531,-0.0140009,600
SP500,2011-10-14,0.0111630,0.0010363,0.0004740,0.0038621,0.0198392,-0.0227242,600
SP500,2003-11-21,0.0336527,0.0014430,0.0004012,0.0016484,0.0203583,-0.0196855,600
SP500,2004-11-05,0.0154351,0.0011014,0.0002921,0.0036555,0.0147416,-0.0176379,600
SP500,2006-07-26,0.0071034,0.0013411,0.0002713,0.0039658,0.0153608,-0.0163458,600
SP500,2004-10-19,0.0071245,0.0010814,0.0003474,0.0023201,0.0180070,-0.0181072,600
SP500,2001-12-12,0.0109845,0.0010865,0.0004572,0.0016241,0.0212565,-0.0199330,600
SP500,2007-10-10,-0.0135874,0.0006423,0.0002140,0.0014826,0.0139111,-0.0137192,600
SP500,2010-09-29,0.0133132,0.0012611,0.0002652,0.0022200,0.0158814,-0.0151119,600
SP500,2011-09-27,-0.0437561,0.0020300,0.0011603,0.0039615,0.0309943,-0.0276056,600
SP500,2003-11-10,-0.0033234,0.0006675,0.0002495,0.0020861,0.0147902,-0.0171145,600
SP500,2011-07-25,-0.0377516,-0.0000692,0.0002686,0.0024977,0.0145122,-0.0176684,600
SP500,2003-10-17,-0.0100161,0.0014316,0.0002269,0.0025961,0.0146900,-0.0138837,600
SP500,2001-03-08,-0.0720938,0.0019950,0.0003416,0.0021940,0.0192902,-0.0156664,600
SP500,2011-02-04,0.0139450,0.0008746,0.0002865,0.0010496,0.0155902,-0.0149327,600
SP500,2006-11-29,0.0095893,0.0021145,0.0002692,0.0032640,0.0174335,-0.0156373,600
SP500,2006-08-23,0.0095747,0.0007171,0.0003170,0.0016098,0.0168228,-0.0168225,600
SP500,2001-12-10,-0.0048863,0.0005722,0.0003147,0.0008418,0.0164938,-0.0165485,600
SP500,2000-10-12,0.0443532,0.0042929,0.0007476,0.0039611,0.0313481,-0.0193335,600
SP500,2011-09-29,0.0039383,0.0024720,0.0009899,0.0046395,0.0285722,-0.0265031,600
SP500,2007-09-26,0.0092892,0.0002720,0.0003897,0.0016976,0.0177586,-0.0190930,600
SP500,2001-11-28,0.0370662,0.0000538,0.0003105,0.0011562,0.0155137,-0.0179371,600
SP500,2010-11-29,0.0297703,0.0003225,0.0002946,0.0012512,0.0153054,-0.0176482,600
SP500,2010-11-08,-0.0208461,-0.0002258,0.0003068,0.0022595,0.0139460,-0.0194491,600
SP500,2011-05-24,-0.0013143,0.0033728,0.0003306,0.0044531,0.0207249,-0.0164307,600
